Food Name,Food Group,Food Sub Group,Per Serving,Energy (kcal),Protein (g),Total Fat (g),Carbo (g),Dietary Fibre (g),Calcium (mg),Sugar (g)
"Scallop, dried",FISH AND FISH PRODUCTS,Shellfish and roe (eg all bivalves),Piece (5g),13.2,2.78,0.12,0.26,0,3.85,0.26
"Apple, green, raw, with peel, core and stalk",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (156g),76.88,0.47,0,16.69,3.59,7.8,16.38
"Apple, red, raw, with peel, core and stalk",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (185g),104.45,0.56,0,23.68,4.07,9.25,22.94
"Apple, unspecified type, red, raw, with skin",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (150g),86.13,0.45,0.3,18.3,3.45,7.5,18
"Apples, raw, without skin",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (139g),66.72,0.38,0.18,17.74,1.81,6.95,14.04
Apricots,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (38g),18.24,0.53,0.15,4.23,0.76,4.94,3.51
"Avocados, raw, all commercial varieties",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (272g),435.2,5.44,39.88,23.2,18.22,32.64,1.8
Banana (pisang mas),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (50g),49.5,0.7,0.15,11.45,1.3,0,6.65
Banana (pisang nangka),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (122g),147.62,1.71,0.24,34.77,3.17,0,20.01
Banana (pisang rajah udang / merah),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (185g),153.55,1.67,0.56,35.71,4.81,12.95,19.61
Banana (pisang rastali),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (small) (43g),40.85,0.69,0.09,9.37,1.12,0,
Banana (pisang tanduk),FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (352g),415.36,4.22,1.41,97.15,9.15,0,54.21
"Banana, raw, unspecified type",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (118g),105.02,1.3,0.39,26.9,3.07,5.9,14.4
Belimbi,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (7.6g),1.98,0.05,0.1,0.21,0.08,0.91,
Binjai,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (284g),181.76,2.84,0.57,41.46,1.99,19.88,
"Blackberries, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (150g),64.5,2.09,0.74,14.42,7.95,43.5,7.32
"Blueberries, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (1.36g),0.78,0.01,0,0.16,0.03,0.08,0.14
"Cherries, sweet, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (150g),94.5,1.59,0.3,24.02,3.15,19.5,19.23
Chinese pear,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (169g),57.36,0.85,0.34,12.84,5.75,20.28,9.58
"Ciku, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (65g),53.3,0.26,0.52,11.96,3.45,10.4,
"Cucumber, raw, Japanese",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (6g),0.66,0.06,0.01,0.1,0.02,1.44,
Custard apple,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (145g),113.1,2.9,0.44,24.36,3.63,20.3,19.43
"Date, dried",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (105g),304.45,2.1,0.21,70.56,10.19,49.35,69.2
Dragonfruit,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (300g),147,3.9,0.3,31.8,8.1,18,19.8
"Duku, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (29.2g),16.06,0.26,0.09,3.53,,3.5,
Durian,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Seed (27g),44.55,0.68,1.11,7.99,0.86,1.35,5.7
"Durian, Malaysian, mid-range",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (41g),65.6,1.03,1.15,12.75,1.27,1.64,9.84
"Durian, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Seed (37.8g),57.83,1.02,1.29,10.55,1.44,15.12,7.3
"Figs, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Piece (50.5g),37.42,0.38,0.15,9.69,1.46,17.68,8.21
Golden kiwi,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Piece (83g),47.31,1.08,0.08,10.54,1.66,23.24,7.8
"Grape, black, unspecified type, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (50g),33.26,0.6,0.05,7,1.65,5.5,7
"Grape, green, unspecified type, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (170g),114.27,1.36,0.17,24.48,5.95,20.4,24.48
"Grape, red, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,1 portion (3.9g),3,0.04,0.01,0.64,0.14,0.39,0.64
"Grapefruit, raw, pink and red and white, all areas",FRUIT AND FRUIT PRODUCTS,Fresh fruits,One half (256g),81.92,1.61,0.26,20.68,2.82,30.72,17.87
"Grapefruit, raw, white, all areas",FRUIT AND FRUIT PRODUCTS,Fresh fruits,One half (240.8g),79.46,1.66,0.24,20.25,2.65,28.9,17.6
"Guava, green skinned, raw, flesh only",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (small) (325g),149.5,3.58,0.65,32.5,17.55,107.25,37.05
Hog plum,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (48.3g),15.46,0.34,0.05,3.38,,8.21,
Honey dew,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (200g),72,1.08,0.28,18.18,1.6,12,16.24
Jackfruit,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Seed (23.4g),27.38,0.59,0.09,6.04,0.7,9.36,
"Jackfruit, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Seed (41g),31.98,0.16,0.08,7.63,0.82,6.15,6.27
"Jackfruit, raw, peeled, flesh only",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (37.84g),14,0.61,0.08,2.76,1.14,14,
"Kiwifruit, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (88.4g),43.32,0.8,0.53,8.22,1.41,22.98,7.78
Kuini,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (276g),229.08,2.76,4.97,43.06,4.14,24.84,
Langsat,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (14.2g),4.83,0.06,0,1.16,,1.42,
"Lemons, raw, with peel",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (110.2g),22.04,1.32,0.33,11.79,5.18,67.22,2.76
Lime,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (small) (35g),22.4,0.49,0.39,4.2,1.44,23.1,3.08
"Lime, musk, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (22.4g),5.6,0.09,0.07,1.14,0.92,2.91,0.22
"Longan, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (60g),42.02,0.72,0.06,9.72,0.24,3.6,
"Loquat, raw, peeled",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (20g),5.84,0.2,0.04,0.98,0.34,2.6,0.98
"Lychee, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (130g),91,1.17,0.26,20.93,0.65,2.6,19.8
Mandarin orange,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (120g),52.8,1.32,0.36,10.92,2.16,21.6,1.08
"Mango, honey, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (323g),222.87,2.91,0.65,51.36,8.4,6.46,27.46
"Mango, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (big) (232g),160.08,4.87,1.16,32.71,3.48,44.08,29.23
Mangosteen,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (small) (69.2g),23.53,0.42,0.69,3.88,,4.84,
"Mata kuching, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (8.8g),6.16,0.07,0.03,1.41,,1.23,
"Mulberry, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (130g),43.23,2.86,0.26,5.59,2.86,44.2,5.59
Nectarine,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (80g),30.48,0.96,0.08,6.48,1.68,7.2,6.48
"Nutmeg, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (136g),693.6,10.06,49.5,52.09,28.29,32.64,28.56
Orange,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (150g),62.81,1.5,0.15,12,3.6,37.5,12
"Orange, navel, washington, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (158g),68.79,1.74,0.16,12.64,4.42,36.34,12.64
"Orange, valencia, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (235g),86.57,2.12,0.24,16.22,5.41,68.15,16.22
Papaya,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (225g),76.43,0.9,0.23,15.53,5.18,63,15.53
"Papaya, exotica, Hawaii",FRUIT AND FRUIT PRODUCTS,Fresh fruits,1 portion (252g),148.77,2.52,0.25,34.02,2.02,78.12,
Passion fruit,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (35g),33.95,0.77,0.25,8.18,3.64,4.2,3.92
Peach,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (138g),64.38,0.14,0.14,12.01,3.17,9.66,11.73
"Pear, brown, raw with peel",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (150g),94.74,0.45,0,15.6,5.1,9,15.6
"Pear, green, peeled",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Piece (245g),73.5,0.74,0,17.64,3.68,9.8,17.64
"Pear, green, raw with peel",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (235g),93.08,0.71,0,22.56,8.46,16.45,22.56
"Pear, prickly, raw, peeled",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (86g),41.97,0.34,0.26,7.57,3.96,41.28,7.57
"Pear, yellow/brown, peeled",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (big) (260g),72.8,0.52,0,17.68,3.64,5.2,17.68
"Persimmon, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (medium) (189g),124.74,1.32,0.76,28.35,3.78,20.79,16.63
"Pineapple, honey, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (869g),443.19,4.35,0,106.02,17.38,95.59,68.65
"Pineapple, raw, flesh only",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (140g),59.61,0.84,0.28,11.48,2.52,28,11.48
"Pineapple, sarawak, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (95g),48.45,0.57,0.1,11.31,1.24,9.5,9.98
Plum,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (80g),31.01,0.48,0.08,5.2,1.6,5.6,5.2
"Plum, red flesh, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (74g),27.41,0.44,0.07,5.55,1.26,5.18,5.03
"Plum, yellow flesh, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (49g),14.87,0.25,0.05,2.99,0.83,3.43,2.5
"Plums, dried (prunes), uncooked",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Piece (10.9g),26.16,0.24,0.04,6.96,0.77,4.69,4.16
"Pomegranate, raw, flesh and seeds, peeled",FRUIT AND FRUIT PRODUCTS,Fresh fruits,One half (120g),94.45,2.28,0.24,16.2,7.68,16.8,16.2
"Pomelo, raw, flesh only",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Piece (39g),16.03,0.31,0.08,3.55,0.16,1.56,
"Pulasan, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (133g),94.41,1.2,0.13,22.08,,71.82,
"Quince, raw, peeled",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (219g),126.78,1.1,0.44,24.09,11.39,17.52,24.09
"Rambai, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (69g),44.2,0.28,0.28,10.07,0.35,3.45,
"Rambutan, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (35.2g),20.78,0.25,0.04,4.89,0.18,7.74,4.89
"Rasberry, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Piece (30g),9.03,0.27,0.18,1.68,2.22,12.3,1.65
"Raspberry, red, fresh",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (4g),1.96,0.04,0.02,0.19,0.27,0.88,0.19
"Rhubarb, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (120g),26.98,1.8,0.24,2.04,2.64,31.2,2.04
Rockmelon,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (165g),47.37,0.99,0.17,9.41,1.98,14.85,9.41
"Salak, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (89g),68.53,0.62,0.09,16.38,1.78,5.34,0
"Soursop, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (439g),285.39,5.71,1.76,61.9,12.73,52.68,
Starfruit / Carambola,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (small) (113g),27.12,0.79,0.11,5.65,3.16,5.65,4.63
"Strawberry, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Cup (150g),33.02,2.55,0.15,4.05,2.1,19.5,4.05
"Tamarillo, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (60g),16.57,1.2,0.24,2.4,1.98,6.6,2.16
"Tamarind, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (2g),0.82,0.01,0,0.19,,3.4,
Thai mango salad,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Plate-20cm (263g),397.13,8.94,18.91,47.6,5.52,53.39,44.71
"Tomato, cherry, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (15g),2.33,0.08,0.02,0.33,0.26,1.65,0.33
"Water apple, raw, with peel",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (53g),8.99,0.42,0.05,1.64,0.11,1.06,
Watermelon,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (119g),44.08,0.95,0.36,7.14,0.24,7.14,6.31
"Wax jambu, raw",FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (50g),13.04,0.35,0.1,2.25,0.95,6.5,2.25
"Apple, stewed with sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (187g),127.83,0.56,0.37,32.35,2.99,5.61,31.79
"Apple, stewed without sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (180g),61.95,0.54,0.54,14.76,2.88,5.4,14.22
"Apricot, canned in artificially sweetened juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (247g),58.45,1.24,0,12.35,3.21,39.52,10.62
"Apricot, canned in artificially sweetened liquid, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",One half (17g),4.8,0.14,0,0.66,0.44,3.74,0.66
"Apricot, canned in pear juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (247g),113.45,1.98,0,20.25,4.45,29.64,20.25
"Apricot, canned in pear juice, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (220g),103.14,2.2,0,17.16,6.82,33,17.16
"Apricot, canned in syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),158.6,1.82,0,33.54,4.42,31.2,33.54
"Apricot, canned in syrup, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (220g),135.78,1.98,0,27.06,6.82,39.6,27.06
"Blackberry, stewed with sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (258g),156.63,2.58,0.26,38.18,14.71,126.42,38.18
"Blackberry, stewed without sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (258g),67.83,2.84,0.26,14.19,16.25,139.32,5.93
Blueberry filling,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (262g),288.2,1.31,0.52,58.95,1.31,39.3,49.78
"Cherry, canned in syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (257g),173.22,1.54,0.51,44.46,3.08,23.13,44.46
"Cranberries, dried",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (121.21g),373.33,0.08,1.66,92.92,6.91,12.12,78.79
Cranberry concentrate,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (253g),485.76,5.57,0.25,114.61,0.51,25.3,92.35
"Date, Chinese, black, dried",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Whole (2.22g),5.06,0.04,0.01,1.21,0.06,2.4,1.19
Durian fermented,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Tablespoon (15g),16.96,0.41,0.39,2.94,0.23,2.1,
"Fruit chutney, commercial",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Tablespoon (25g),44.98,0.13,0.08,10.78,0.55,6.25,10.38
"Fruit salad, canned in heavy syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (270g),222.83,1.35,0.27,52.65,4.86,13.5,52.65
"Fruit salad, canned in heavy syrup, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (255g),214.12,1.53,0.51,48.45,7.14,15.3,48.45
"Fruit salad, canned in pear juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (255g),114.7,1.53,0.26,21.68,3.57,17.85,21.68
"Fruit salad, canned in pear juice, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (220g),101.05,1.76,0.22,18.04,4.84,15.4,18.04
"Fruit salad, canned in pineapple juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),133.74,1.82,0.26,28.6,4.42,15.6,28.6
"Fruit salad, canned in pineapple juice, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (250g),132.78,2.25,0.5,27,6,15,27
"Fruit salad, canned in syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),132.5,1.04,0.26,28.6,2.86,13,28.6
"Fruit salad, canned in syrup, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (220g),114.2,1.32,0.22,25.3,3.96,15.4,23.32
"Fruit, mixed, spicy pickled",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Dessertspoon (15g),50.23,0.18,4.82,1.56,0.3,10.8,
"Grapefruit, canned in juice pack",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (249g),92.24,1.74,0.25,22.91,1.99,37.35,
"Grapefruit, canned in syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (254g),156.02,1.27,,39.37,2.29,43.18,39.37
"Guava, canned in syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Slice (12g),7.4,0.05,,1.88,0.38,0.96,1.88
"Hog plum, pickled",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Whole (21g),5.87,0.02,0.02,1.41,0.34,2.52,
"Juice, apple, sparkling",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Can (375g),152.51,0,0,38.63,0,11.25,38.63
"Juice, grape",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (266g),140.63,0.53,0,35.64,0,21.28,35.64
"Juice, grape, unsweetened",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (253g),118.52,0.76,0.25,29.6,0,48.07,29.6
"Juice, grapefruit, commercial, no added sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (259g),77.38,1.3,0.26,16.06,0.26,23.31,16.06
"Juice, lemon",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (244g),54.29,1.71,0.49,11.22,0.24,29.28,11.22
"Juice, lemon, canned or bottled",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (244g),51.24,0.98,0.73,15.86,0,26.84,0
"Juice, lime, fresh",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Tablespoon (14g),3.78,0.06,0.01,1.26,0,1.26,1.26
"Juice, orange and mango",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),94.54,1.56,0.26,20.8,0.78,20.8,19.5
"Juice, orange, commercial",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Glass (250ml) (262g),94.32,1.57,0,22.01,0.26,23.58,22.01
"Juice, orange, commercial, no added sugar",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Glass (250ml) (260g),88.4,1.56,0.26,19.24,0.26,23.4,19.24
"Juice, pineapple, canned",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (263g),115.14,0.79,0.26,27.09,0,15.78,27.09
"Juice, prune",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (256g),181.11,1.54,0.08,44.67,2.56,30.72,
"Kundur, candied",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Piece (3.6g),11.52,0.02,0,2.86,,1.26,
"Longan, canned in syrup, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (145g),101.5,0.87,0.15,24.8,1.89,7.25,24.51
"Longan, canned in syrup, with syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (270g),183.6,1.08,0,45.9,1.62,8.1,45.63
"Longan, canned, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Can (256g),220.16,1.54,0.51,51.97,3.07,128,36.61
"Longan, dried",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Piece (2.42g),6.61,0.12,0,1.52,0.05,0.92,1.52
"Longan, dried, flesh only",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Dessertspoon (13.3g),41.63,0.59,0.13,9.51,0.27,5.19,
"Lychee, canned in syrup, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (145g),100.78,0.87,0.15,24.8,1.89,7.25,24.51
"Lychee, canned in syrup, with syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (270g),183.6,1.08,0,45.9,1.62,8.1,45.63
"Mango, candied",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Piece (11g),35.2,0.06,0.04,8.66,0.03,4.18,
"Mango, pickled",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Piece (8g),6.96,0.07,0,1.67,0.08,0.64,
"Nutmeg, pickled",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Piece (23g),54.74,0.05,0.05,13.55,,0.23,
"Orange juice, frozen concentrate, unsweetened, undiluted",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (284g),451.56,6.82,0.57,108.49,2.27,90.88,
"Orange juice, home squeezed",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (250g),82.5,1.25,0.25,18.25,0.5,22.5,18.25
"Packing liquid, artificially sweetened",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),62.76,0.52,0,14.82,0,13,14.82
"Packing liquid, pear juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),111.85,1.04,0,27.04,0,15.6,23.14
Packing syrup,FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),128.75,0.52,0,30.16,0.52,7.8,30.16
"Packing syrup, heavy",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (270g),217.03,0.54,0,54.81,0,8.1,54.81
"Papaya, candied",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Piece (10g),35.2,0.1,0.06,8.56,,2.7,
"Paste, plum",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Tablespoon (19g),46.17,0.49,0.11,10.64,1.5,10.26,
"Peach, canned artificially in sweetened liquid",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (250g),68.78,1.25,0,13.25,3.25,15,13.75
"Peach, canned in pear juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (260g),116.95,1.56,,22.1,3.64,10.4,22.1
"Peach, canned in pear juice, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (210g),99.48,1.68,0.21,17.64,4.41,8.4,17.64
"Peached Puree, Frozen",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Can (435g),191.4,3.92,0,42.2,7.83,0,40.89
"Peaches, dried, sulfured, uncooked",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (160g),382.4,5.78,1.22,85.01,13.12,44.8,66.78
"Pear, canned in pear juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",One half (55g),25.53,0.28,0,4.79,0.94,3.3,4.79
"Pear, canned in pear juice, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",One half (55g),26.32,0.33,0,4.73,1.54,2.75,4.73
"Pear, canned in syrup",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",One half (95g),63.18,0.38,0,13.4,1.81,3.8,13.4
"Pear, canned in syrup, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",One half (55g),37.1,0.33,0,7.54,1.65,2.75,7.54
"Persimmon, dried",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Whole (117g),291.33,2.22,0.59,69.26,3.04,43.29,
"Pineapple, candied",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Piece (1.75g),5.37,0.02,0,1.32,,0.16,1.32
"Pineapple, canned in apple juice",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Slice (70g),31.28,0.35,0,7.28,0.56,4.2,7.28
"Pineapple, canned in heavy syrup, drained",FRUIT AND FRUIT PRODUCTS,"Processed fruits (canned, pickled, juices etc)",Cup (200g),165.08,0.4,0.6,38.8,2.8,10,38.8
